factura_id,documento_id,cliente,tipo_canal,pais,fecha_factura,fecha_vencimiento,plazo_dias,valor_cop,dias_mora,estado,pagada
FV-95253,OC-95253,Paranice US,Internacional,Estados Unidos,2026-02-13,2026-02-28,15,7177250,0,Pagada,True
FV-95254,OC-95254,Distribuidor CR,Internacional,Costa Rica,2026-02-15,2026-04-01,45,4318510,0,Pagada,True
FV-95255,OC-95255,Éxito,Retail,Colombia,2026-02-15,2026-04-16,60,4291276,0,Pagada,True
FV-95256,OC-95256,Éxito,Retail,Colombia,2026-02-17,2026-04-18,60,4270638,0,Pagada,True
FV-95257,OC-95257,Éxito,Retail,Colombia,2026-02-17,2026-04-18,60,4302666,0,Pagada,True
FV-95258,OC-95258,Éxito,Retail,Colombia,2026-02-17,2026-04-18,60,4301612,0,Pagada,True
FV-95259,OC-95259,Éxito,Retail,Colombia,2026-02-18,2026-04-19,60,4344554,0,Pagada,True
FV-95260,OC-95260,Carulla,Retail,Colombia,2026-02-14,2026-04-15,60,3895176,0,Pagada,True
FV-95261,OC-95261,Carulla,Retail,Colombia,2026-02-14,2026-04-15,60,3934140,0,Pagada,True
FV-95262,OC-95262,Carulla,Retail,Colombia,2026-02-14,2026-04-15,60,3889260,0,Pagada,True
FV-95263,OC-95263,Rappi,Marketplace,Colombia,2026-02-18,2026-03-20,30,3188875,0,Pagada,True
FV-95264,OC-95264,Rappi,Marketplace,Colombia,2026-02-15,2026-03-17,30,3199782,0,Pagada,True
FV-95265,OC-95265,Fithub,Especializado,Colombia,2026-02-16,2026-04-02,45,6072360,0,Pagada,True
FV-95266,OC-95266,Tiendas naturistas,Especializado,Colombia,2026-02-17,2026-04-03,45,7708320,0,Pagada,True
FV-95267,OC-95267,Paranice US,Internacional,Estados Unidos,2026-02-16,2026-03-03,15,4148150,0,Pagada,True
FV-95268,OC-95268,Paranice US,Internacional,Estados Unidos,2026-02-15,2026-03-02,15,4145100,0,Pagada,True
FV-95269,OC-95269,Distribuidor CR,Internacional,Costa Rica,2026-02-16,2026-04-02,45,5139540,0,Pagada,True
FV-95270,OC-95270,Éxito,Retail,Colombia,2026-02-19,2026-04-20,60,9804172,0,Pagada,True
FV-95271,OC-95271,Éxito,Retail,Colombia,2026-02-19,2026-04-20,60,9824538,0,Pagada,True
FV-95272,OC-95272,Carulla,Retail,Colombia,2026-02-15,2026-04-16,60,16248668,0,Pagada,True
FV-95273,OC-95273,Rappi,Marketplace,Colombia,2026-02-19,2026-03-21,30,1326150,0,Pagada,True
FV-95274,OC-95274,Rappi,Marketplace,Colombia,2026-02-17,2026-03-19,30,1311530,0,Pagada,True
FV-95275,OC-95275,Rappi,Marketplace,Colombia,2026-02-19,2026-03-21,30,1304548,0,Pagada,True
FV-95276,OC-95276,Rappi,Marketplace,Colombia,2026-02-18,2026-03-20,30,1390428,0,Pagada,True
FV-95277,OC-95277,Rappi,Marketplace,Colombia,2026-02-16,2026-03-18,30,1394515,0,Pagada,True
FV-95278,OC-95278,Fithub,Especializado,Colombia,2026-02-18,2026-04-04,45,5446035,0,Pagada,True
FV-95279,OC-95279,Tiendas naturistas,Especializado,Colombia,2026-02-19,2026-04-05,45,2861280,0,Pagada,True
FV-95280,OC-95280,Tiendas naturistas,Especializado,Colombia,2026-02-15,2026-04-01,45,2792520,0,Pagada,True
FV-95281,OC-95281,Paranice US,Internacional,Estados Unidos,2026-02-16,2026-03-03,15,4752250,0,Pagada,True
FV-95282,OC-95282,Paranice US,Internacional,Estados Unidos,2026-02-16,2026-03-03,15,4773800,0,Pagada,True
FV-95283,OC-95283,Distribuidor CR,Internacional,Costa Rica,2026-02-17,2026-04-03,45,1673805,0,Pagada,True
FV-95284,OC-95284,Distribuidor CR,Internacional,Costa Rica,2026-02-17,2026-04-03,45,1707055,0,Pagada,True
FV-95285,OC-95285,Distribuidor CR,Internacional,Costa Rica,2026-02-17,2026-04-03,45,1693755,0,Pagada,True
FV-95286,OC-95286,Éxito,Retail,Colombia,2026-02-20,2026-04-21,60,23376666,0,Pagada,True
FV-95287,OC-95287,Carulla,Retail,Colombia,2026-02-19,2026-04-20,60,15896904,0,Pagada,True
FV-95288,OC-95288,Rappi,Marketplace,Colombia,2026-02-16,2026-03-18,30,5878561,0,Pagada,True
FV-95289,OC-95289,Fithub,Especializado,Colombia,2026-02-16,2026-04-02,45,1434510,0,Pagada,True
FV-95290,OC-95290,Fithub,Especializado,Colombia,2026-02-17,2026-04-03,45,1515395,0,Pagada,True
FV-95291,OC-95291,Fithub,Especializado,Colombia,2026-02-17,2026-04-03,45,1479800,0,Pagada,True
FV-95292,OC-95292,Fithub,Especializado,Colombia,2026-02-20,2026-04-06,45,1575420,0,Pagada,True
FV-95293,OC-95293,Fithub,Especializado,Colombia,2026-02-18,2026-04-04,45,1569750,0,Pagada,True
FV-95294,OC-95294,Tiendas naturistas,Especializado,Colombia,2026-02-19,2026-04-05,45,3387636,0,Pagada,True
FV-95295,OC-95295,Tiendas naturistas,Especializado,Colombia,2026-02-17,2026-04-03,45,3368952,0,Pagada,True
FV-95296,OC-95296,Paranice US,Internacional,Estados Unidos,2026-02-20,2026-03-07,15,7377950,0,Pagada,True
FV-95297,OC-95297,Distribuidor CR,Internacional,Costa Rica,2026-02-18,2026-04-04,45,1364720,0,Pagada,True
FV-95298,OC-95298,Distribuidor CR,Internacional,Costa Rica,2026-02-17,2026-04-03,45,1470840,0,Pagada,True
FV-95299,OC-95299,Distribuidor CR,Internacional,Costa Rica,2026-02-18,2026-04-04,45,1350230,0,Pagada,True
FV-95300,OC-95300,Éxito,Retail,Colombia,2026-02-17,2026-04-18,60,10492128,0,Pagada,True
FV-95301,OC-95301,Éxito,Retail,Colombia,2026-02-19,2026-04-20,60,10434396,0,Pagada,True
FV-95302,OC-95302,Carulla,Retail,Colombia,2026-02-19,2026-04-20,60,3152786,0,Pagada,True
FV-95303,OC-95303,Carulla,Retail,Colombia,2026-02-21,2026-04-22,60,3052520,0,Pagada,True
FV-95304,OC-95304,Carulla,Retail,Colombia,2026-02-17,2026-04-18,60,3097332,0,Pagada,True
FV-95305,OC-95305,Carulla,Retail,Colombia,2026-02-18,2026-04-19,60,3047012,0,Pagada,True
FV-95306,OC-95306,Rappi,Marketplace,Colombia,2026-02-19,2026-03-21,30,1939491,0,Pagada,True
FV-95307,OC-95307,Rappi,Marketplace,Colombia,2026-02-18,2026-03-20,30,2017084,0,Pagada,True
FV-95308,OC-95308,Rappi,Marketplace,Colombia,2026-02-20,2026-03-22,30,2009288,162,Vencida +90,False
FV-95309,OC-95309,Fithub,Especializado,Colombia,2026-02-18,2026-04-04,45,3036915,0,Pagada,True
FV-95310,OC-95310,Fithub,Especializado,Colombia,2026-02-17,2026-04-03,45,2935135,0,Pagada,True
FV-95311,OC-95311,Tiendas naturistas,Especializado,Colombia,2026-02-17,2026-04-03,45,3739824,0,Pagada,True
FV-95312,OC-95312,Tiendas naturistas,Especializado,Colombia,2026-02-20,2026-04-06,45,3784536,0,Pagada,True
FV-95313,OC-95313,Paranice US,Internacional,Estados Unidos,2026-02-21,2026-03-08,15,3114600,0,Pagada,True
FV-95314,OC-95314,Paranice US,Internacional,Estados Unidos,2026-02-20,2026-03-07,15,3124450,0,Pagada,True
FV-95315,OC-95315,Paranice US,Internacional,Estados Unidos,2026-02-21,2026-03-08,15,3269250,0,Pagada,True
FV-95316,OC-95316,Distribuidor CR,Internacional,Costa Rica,2026-02-20,2026-04-06,45,5212025,0,Pagada,True
FV-95317,OC-95317,Éxito,Retail,Colombia,2026-02-22,2026-04-23,60,23186028,0,Pagada,True
FV-95318,OC-95318,Carulla,Retail,Colombia,2026-02-19,2026-04-20,60,13445436,0,Pagada,True
FV-95319,OC-95319,Rappi,Marketplace,Colombia,2026-02-18,2026-03-20,30,6461795,0,Pagada,True
FV-95320,OC-95320,Fithub,Especializado,Colombia,2026-02-22,2026-04-08,45,5815460,0,Pagada,True
FV-95321,OC-95321,Tiendas naturistas,Especializado,Colombia,2026-02-19,2026-04-05,45,6534216,0,Pagada,True
FV-95322,OC-95322,Paranice US,Internacional,Estados Unidos,2026-02-19,2026-03-06,15,9398750,0,Pagada,True
FV-95323,OC-95323,Distribuidor CR,Internacional,Costa Rica,2026-02-21,2026-04-07,45,2514925,0,Pagada,True
FV-95324,OC-95324,Distribuidor CR,Internacional,Costa Rica,2026-02-21,2026-04-07,45,2529940,0,Pagada,True
FV-95325,OC-95325,Éxito,Retail,Colombia,2026-02-23,2026-04-24,60,9878428,0,Pagada,True
FV-95326,OC-95326,Éxito,Retail,Colombia,2026-02-22,2026-04-23,60,9812196,0,Pagada,True
FV-95327,OC-95327,Carulla,Retail,Colombia,2026-02-23,2026-04-24,60,13188804,0,Pagada,True
FV-95328,OC-95328,Rappi,Marketplace,Colombia,2026-02-21,2026-03-23,30,7532923,0,Pagada,True
FV-95329,OC-95329,Fithub,Especializado,Colombia,2026-02-19,2026-04-05,45,7492835,0,Pagada,True
FV-95330,OC-95330,Tiendas naturistas,Especializado,Colombia,2026-02-21,2026-04-07,45,2018376,0,Pagada,True
FV-95331,OC-95331,Tiendas naturistas,Especializado,Colombia,2026-02-20,2026-04-06,45,2048868,0,Pagada,True
FV-95332,OC-95332,Tiendas naturistas,Especializado,Colombia,2026-02-23,2026-04-09,45,2021220,0,Pagada,True
FV-95333,OC-95333,Tiendas naturistas,Especializado,Colombia,2026-02-20,2026-04-06,45,1989432,0,Pagada,True
FV-95334,OC-95334,Paranice US,Internacional,Estados Unidos,2026-02-21,2026-03-08,15,2946550,0,Pagada,True
FV-95335,OC-95335,Paranice US,Internacional,Estados Unidos,2026-02-23,2026-03-10,15,2932100,0,Pagada,True
FV-95336,OC-95336,Paranice US,Internacional,Estados Unidos,2026-02-23,2026-03-10,15,2946500,0,Pagada,True
FV-95337,OC-95337,Distribuidor CR,Internacional,Costa Rica,2026-02-20,2026-04-06,45,1434020,0,Pagada,True
FV-95338,OC-95338,Distribuidor CR,Internacional,Costa Rica,2026-02-23,2026-04-09,45,1513435,0,Pagada,True
FV-95339,OC-95339,Distribuidor CR,Internacional,Costa Rica,2026-02-23,2026-04-09,45,1488095,0,Pagada,True
FV-95340,OC-95340,Éxito,Retail,Colombia,2026-02-23,2026-04-24,60,20251556,0,Pagada,True
FV-95341,OC-95341,Carulla,Retail,Colombia,2026-02-22,2026-04-23,60,4626414,0,Pagada,True
FV-95342,OC-95342,Carulla,Retail,Colombia,2026-02-22,2026-04-23,60,4597616,0,Pagada,True
FV-95343,OC-95343,Carulla,Retail,Colombia,2026-02-23,2026-04-24,60,4649194,0,Pagada,True
FV-95344,OC-95344,Rappi,Marketplace,Colombia,2026-02-21,2026-03-23,30,8352613,0,Pagada,True
FV-95345,OC-95345,Fithub,Especializado,Colombia,2026-02-20,2026-04-06,45,7393890,0,Pagada,True
FV-95346,OC-95346,Tiendas naturistas,Especializado,Colombia,2026-02-21,2026-04-07,45,7912656,0,Pagada,True
FV-95347,OC-95347,Paranice US,Internacional,Estados Unidos,2026-02-23,2026-03-10,15,2173300,0,Pagada,True
FV-95348,OC-95348,Paranice US,Internacional,Estados Unidos,2026-02-23,2026-03-10,15,2102800,0,Pagada,True
FV-95349,OC-95349,Paranice US,Internacional,Estados Unidos,2026-02-24,2026-03-11,15,2115150,0,Pagada,True
FV-95350,OC-95350,Paranice US,Internacional,Estados Unidos,2026-02-21,2026-03-08,15,2115800,0,Pagada,True
FV-95351,OC-95351,Distribuidor CR,Internacional,Costa Rica,2026-02-22,2026-04-08,45,5363645,0,Pagada,True
FV-95352,OC-95352,Éxito,Retail,Colombia,2026-02-22,2026-04-23,60,20820240,0,Pagada,True
FV-95353,OC-95353,Carulla,Retail,Colombia,2026-02-25,2026-04-26,60,13213284,0,Pagada,True
FV-95354,OC-95354,Rappi,Marketplace,Colombia,2026-02-25,2026-03-27,30,6035637,0,Pagada,True
FV-95355,OC-95355,Fithub,Especializado,Colombia,2026-02-23,2026-04-09,45,7046340,0,Pagada,True
FV-95356,OC-95356,Tiendas naturistas,Especializado,Colombia,2026-02-21,2026-04-07,45,7106940,0,Pagada,True
FV-95357,OC-95357,Paranice US,Internacional,Estados Unidos,2026-02-21,2026-03-08,15,2839350,0,Pagada,True
FV-95358,OC-95358,Paranice US,Internacional,Estados Unidos,2026-02-24,2026-03-11,15,2856700,0,Pagada,True
FV-95359,OC-95359,Paranice US,Internacional,Estados Unidos,2026-02-23,2026-03-10,15,2753400,174,Vencida +90,False
FV-95360,OC-95360,Distribuidor CR,Internacional,Costa Rica,2026-02-24,2026-04-10,45,2514120,0,Pagada,True
FV-95361,OC-95361,Distribuidor CR,Internacional,Costa Rica,2026-02-23,2026-04-09,45,2329635,0,Pagada,True
FV-95362,OC-95362,Éxito,Retail,Colombia,2026-02-22,2026-04-23,60,18442722,0,Pagada,True
FV-95363,OC-95363,Carulla,Retail,Colombia,2026-02-25,2026-04-26,60,7043882,0,Pagada,True
FV-95364,OC-95364,Carulla,Retail,Colombia,2026-02-22,2026-04-23,60,7013928,0,Pagada,True
FV-95365,OC-95365,Rappi,Marketplace,Colombia,2026-02-26,2026-03-28,30,1816050,0,Pagada,True
FV-95366,OC-95366,Rappi,Marketplace,Colombia,2026-02-26,2026-03-28,30,1806526,0,Pagada,True
FV-95367,OC-95367,Rappi,Marketplace,Colombia,2026-02-23,2026-03-25,30,1859965,0,Pagada,True
FV-95368,OC-95368,Fithub,Especializado,Colombia,2026-02-24,2026-04-10,45,2446990,0,Pagada,True
FV-95369,OC-95369,Fithub,Especializado,Colombia,2026-02-24,2026-04-10,45,2353260,143,Vencida +90,False
FV-95370,OC-95370,Fithub,Especializado,Colombia,2026-02-25,2026-04-11,45,2344475,0,Pagada,True
FV-95371,OC-95371,Tiendas naturistas,Especializado,Colombia,2026-02-26,2026-04-12,45,3075120,0,Pagada,True
FV-95372,OC-95372,Tiendas naturistas,Especializado,Colombia,2026-02-23,2026-04-09,45,3095496,0,Pagada,True
FV-95373,OC-95373,Paranice US,Internacional,Estados Unidos,2026-02-26,2026-03-13,15,8535250,0,Pagada,True
FV-95374,OC-95374,Distribuidor CR,Internacional,Costa Rica,2026-02-23,2026-04-09,45,5310480,0,Pagada,True
FV-95375,OC-95375,Éxito,Retail,Colombia,2026-02-25,2026-04-26,60,12472594,0,Pagada,True
FV-95376,OC-95376,Éxito,Retail,Colombia,2026-02-26,2026-04-27,60,12522132,0,Pagada,True
FV-95377,OC-95377,Carulla,Retail,Colombia,2026-02-24,2026-04-25,60,16361480,0,Pagada,True
FV-95378,OC-95378,Rappi,Marketplace,Colombia,2026-02-26,2026-03-28,30,2241679,0,Pagada,True
FV-95379,OC-95379,Rappi,Marketplace,Colombia,2026-02-23,2026-03-25,30,2273338,0,Pagada,True
FV-95380,OC-95380,Rappi,Marketplace,Colombia,2026-02-24,2026-03-26,30,2311930,0,Pagada,True
FV-95381,OC-95381,Fithub,Especializado,Colombia,2026-02-26,2026-04-12,45,6370070,0,Pagada,True
FV-95382,OC-95382,Tiendas naturistas,Especializado,Colombia,2026-02-24,2026-04-10,45,1501884,0,Pagada,True
FV-95383,OC-95383,Tiendas naturistas,Especializado,Colombia,2026-02-27,2026-04-13,45,1526292,0,Pagada,True
FV-95384,OC-95384,Tiendas naturistas,Especializado,Colombia,2026-02-27,2026-04-13,45,1505772,0,Pagada,True
FV-95385,OC-95385,Tiendas naturistas,Especializado,Colombia,2026-02-25,2026-04-11,45,1465272,0,Pagada,True
FV-95386,OC-95386,Tiendas naturistas,Especializado,Colombia,2026-02-26,2026-04-12,45,1503684,141,Vencida +90,False
FV-95387,OC-95387,Paranice US,Internacional,Estados Unidos,2026-02-24,2026-03-11,15,9195850,0,Pagada,True
FV-95388,OC-95388,Distribuidor CR,Internacional,Costa Rica,2026-02-25,2026-04-11,45,2627065,0,Pagada,True
FV-95389,OC-95389,Distribuidor CR,Internacional,Costa Rica,2026-02-27,2026-04-13,45,2628465,0,Pagada,True
FV-95390,OC-95390,Éxito,Retail,Colombia,2026-02-27,2026-04-28,60,24788142,0,Pagada,True
FV-95391,OC-95391,Carulla,Retail,Colombia,2026-02-28,2026-04-29,60,15707422,0,Pagada,True
FV-95392,OC-95392,Rappi,Marketplace,Colombia,2026-02-24,2026-03-26,30,6457070,0,Pagada,True
FV-95393,OC-95393,Fithub,Especializado,Colombia,2026-02-25,2026-04-11,45,881335,0,Pagada,True
FV-95394,OC-95394,Fithub,Especializado,Colombia,2026-02-27,2026-04-13,45,976255,140,Vencida +90,False
FV-95395,OC-95395,Fithub,Especializado,Colombia,2026-02-27,2026-04-13,45,897645,0,Pagada,True
FV-95396,OC-95396,Fithub,Especializado,Colombia,2026-02-26,2026-04-12,45,927115,0,Pagada,True
FV-95397,OC-95397,Fithub,Especializado,Colombia,2026-02-26,2026-04-12,45,904015,0,Pagada,True
FV-95398,OC-95398,Fithub,Especializado,Colombia,2026-02-25,2026-04-11,45,931560,0,Pagada,True
FV-95399,OC-95399,Fithub,Especializado,Colombia,2026-02-24,2026-04-10,45,892395,0,Pagada,True
FV-95400,OC-95400,Fithub,Especializado,Colombia,2026-02-24,2026-04-10,45,885850,0,Pagada,True
FV-95401,OC-95401,Tiendas naturistas,Especializado,Colombia,2026-02-27,2026-04-13,45,5851944,0,Pagada,True
FV-95402,OC-95402,Paranice US,Internacional,Estados Unidos,2026-02-27,2026-03-14,15,3288450,0,Pagada,True
FV-95403,OC-95403,Paranice US,Internacional,Estados Unidos,2026-02-25,2026-03-12,15,3263700,0,Pagada,True
FV-95404,OC-95404,Paranice US,Internacional,Estados Unidos,2026-02-27,2026-03-14,15,3312250,0,Pagada,True
FV-95405,OC-95405,Distribuidor CR,Internacional,Costa Rica,2026-02-27,2026-04-13,45,4953690,0,Pagada,True
FV-95406,OC-95406,Éxito,Retail,Colombia,2026-03-01,2026-04-30,60,21919188,0,Pagada,True
FV-95407,OC-95407,Carulla,Retail,Colombia,2026-02-26,2026-04-27,60,3823810,0,Pagada,True
FV-95408,OC-95408,Carulla,Retail,Colombia,2026-02-27,2026-04-28,60,3832446,0,Pagada,True
FV-95409,OC-95409,Carulla,Retail,Colombia,2026-02-28,2026-04-29,60,3804464,0,Pagada,True
FV-95410,OC-95410,Rappi,Marketplace,Colombia,2026-02-26,2026-03-28,30,2481829,0,Pagada,True
FV-95411,OC-95411,Rappi,Marketplace,Colombia,2026-03-01,2026-03-31,30,2541370,0,Pagada,True
FV-95412,OC-95412,Rappi,Marketplace,Colombia,2026-02-27,2026-03-29,30,2598148,0,Pagada,True
FV-95413,OC-95413,Fithub,Especializado,Colombia,2026-02-28,2026-04-14,45,6610275,0,Pagada,True
FV-95414,OC-95414,Tiendas naturistas,Especializado,Colombia,2026-02-26,2026-04-12,45,2076120,0,Pagada,True
FV-95415,OC-95415,Tiendas naturistas,Especializado,Colombia,2026-02-28,2026-04-14,45,2021616,0,Pagada,True
FV-95416,OC-95416,Tiendas naturistas,Especializado,Colombia,2026-02-26,2026-04-12,45,2052324,0,Pagada,True
FV-95417,OC-95417,Paranice US,Internacional,Estados Unidos,2026-02-26,2026-03-13,15,2727350,0,Pagada,True
FV-95418,OC-95418,Paranice US,Internacional,Estados Unidos,2026-02-26,2026-03-13,15,2949450,0,Pagada,True
FV-95419,OC-95419,Paranice US,Internacional,Estados Unidos,2026-02-26,2026-03-13,15,2962950,0,Pagada,True
FV-95420,OC-95420,Distribuidor CR,Internacional,Costa Rica,2026-03-01,2026-04-15,45,1254365,0,Pagada,True
FV-95421,OC-95421,Distribuidor CR,Internacional,Costa Rica,2026-03-01,2026-04-15,45,1254435,0,Pagada,True
FV-95422,OC-95422,Distribuidor CR,Internacional,Costa Rica,2026-02-26,2026-04-12,45,1200325,0,Pagada,True
FV-95423,OC-95423,Distribuidor CR,Internacional,Costa Rica,2026-02-25,2026-04-11,45,1293040,142,Vencida +90,False
FV-95424,OC-95424,Éxito,Retail,Colombia,2026-02-27,2026-04-28,60,24375484,0,Pagada,True
FV-95425,OC-95425,Carulla,Retail,Colombia,2026-02-27,2026-04-28,60,3011516,0,Pagada,True
FV-95426,OC-95426,Carulla,Retail,Colombia,2026-02-26,2026-04-27,60,2902954,0,Pagada,True
FV-95427,OC-95427,Carulla,Retail,Colombia,2026-02-28,2026-04-29,60,3033038,0,Pagada,True
FV-95428,OC-95428,Carulla,Retail,Colombia,2026-03-01,2026-04-30,60,2965548,0,Pagada,True
FV-95429,OC-95429,Rappi,Marketplace,Colombia,2026-02-27,2026-03-29,30,2110840,0,Pagada,True
FV-95430,OC-95430,Rappi,Marketplace,Colombia,2026-02-28,2026-03-30,30,2052900,0,Pagada,True
FV-95431,OC-95431,Rappi,Marketplace,Colombia,2026-03-01,2026-03-31,30,2082643,0,Pagada,True
FV-95432,OC-95432,Fithub,Especializado,Colombia,2026-03-01,2026-04-15,45,6238750,0,Pagada,True
FV-95433,OC-95433,Tiendas naturistas,Especializado,Colombia,2026-03-01,2026-04-15,45,2806956,0,Pagada,True
FV-95434,OC-95434,Tiendas naturistas,Especializado,Colombia,2026-03-02,2026-04-16,45,2934072,0,Pagada,True
FV-95435,OC-95435,Paranice US,Internacional,Estados Unidos,2026-03-01,2026-03-16,15,3073900,168,Vencida +90,False
FV-95436,OC-95436,Paranice US,Internacional,Estados Unidos,2026-02-26,2026-03-13,15,2952000,0,Pagada,True
FV-95437,OC-95437,Paranice US,Internacional,Estados Unidos,2026-03-02,2026-03-17,15,3080550,0,Pagada,True
FV-95438,OC-95438,Distribuidor CR,Internacional,Costa Rica,2026-02-26,2026-04-12,45,5517995,0,Pagada,True
FV-95439,OC-95439,Éxito,Retail,Colombia,2026-03-02,2026-05-01,60,8828474,0,Pagada,True
FV-95440,OC-95440,Éxito,Retail,Colombia,2026-02-27,2026-04-28,60,8814568,0,Pagada,True
FV-95441,OC-95441,Carulla,Retail,Colombia,2026-02-28,2026-04-29,60,15548676,0,Pagada,True
FV-95442,OC-95442,Rappi,Marketplace,Colombia,2026-03-03,2026-04-02,30,1742475,0,Pagada,True
FV-95443,OC-95443,Rappi,Marketplace,Colombia,2026-02-28,2026-03-30,30,1783019,0,Pagada,True
FV-95444,OC-95444,Rappi,Marketplace,Colombia,2026-02-27,2026-03-29,30,1676560,0,Pagada,True
FV-95445,OC-95445,Rappi,Marketplace,Colombia,2026-02-28,2026-03-30,30,1715295,0,Pagada,True
FV-95446,OC-95446,Fithub,Especializado,Colombia,2026-03-01,2026-04-15,45,1395730,0,Pagada,True
FV-95447,OC-95447,Fithub,Especializado,Colombia,2026-02-27,2026-04-13,45,1350160,0,Pagada,True
FV-95448,OC-95448,Fithub,Especializado,Colombia,2026-03-03,2026-04-17,45,1358455,0,Pagada,True
FV-95449,OC-95449,Fithub,Especializado,Colombia,2026-03-02,2026-04-16,45,1381345,0,Pagada,True
FV-95450,OC-95450,Tiendas naturistas,Especializado,Colombia,2026-02-28,2026-04-14,45,3061260,0,Pagada,True
FV-95451,OC-95451,Tiendas naturistas,Especializado,Colombia,2026-03-03,2026-04-17,45,2915388,0,Pagada,True
FV-95452,OC-95452,Paranice US,Internacional,Estados Unidos,2026-02-28,2026-03-15,15,8680100,0,Pagada,True
FV-95453,OC-95453,Distribuidor CR,Internacional,Costa Rica,2026-03-02,2026-04-16,45,1448230,0,Pagada,True
FV-95454,OC-95454,Distribuidor CR,Internacional,Costa Rica,2026-03-01,2026-04-15,45,1498700,0,Pagada,True
FV-95455,OC-95455,Distribuidor CR,Internacional,Costa Rica,2026-02-27,2026-04-13,45,1417675,0,Pagada,True
FV-95456,OC-95456,Éxito,Retail,Colombia,2026-03-01,2026-04-30,60,8828338,0,Pagada,True
FV-95457,OC-95457,Éxito,Retail,Colombia,2026-02-28,2026-04-29,60,8831670,0,Pagada,True
FV-95458,OC-95458,Carulla,Retail,Colombia,2026-03-02,2026-05-01,60,3839518,0,Pagada,True
FV-95459,OC-95459,Carulla,Retail,Colombia,2026-03-02,2026-05-01,60,3842136,0,Pagada,True
FV-95460,OC-95460,Carulla,Retail,Colombia,2026-03-01,2026-04-30,60,3848528,123,Vencida +90,False
FV-95461,OC-95461,Rappi,Marketplace,Colombia,2026-03-03,2026-04-02,30,3181350,151,Vencida +90,False
FV-95462,OC-95462,Rappi,Marketplace,Colombia,2026-03-03,2026-04-02,30,3193050,0,Pagada,True
FV-95463,OC-95463,Fithub,Especializado,Colombia,2026-03-02,2026-04-16,45,7029925,0,Pagada,True
FV-95464,OC-95464,Tiendas naturistas,Especializado,Colombia,2026-03-04,2026-04-18,45,1241568,0,Pagada,True
FV-95465,OC-95465,Tiendas naturistas,Especializado,Colombia,2026-03-01,2026-04-15,45,1337868,0,Pagada,True
FV-95466,OC-95466,Tiendas naturistas,Especializado,Colombia,2026-03-04,2026-04-18,45,1361448,0,Pagada,True
FV-95467,OC-95467,Tiendas naturistas,Especializado,Colombia,2026-03-02,2026-04-16,45,1350036,0,Pagada,True
FV-95468,OC-95468,Tiendas naturistas,Especializado,Colombia,2026-03-03,2026-04-17,45,1320264,0,Pagada,True
FV-95469,OC-95469,Tiendas naturistas,Especializado,Colombia,2026-03-03,2026-04-17,45,1334016,0,Pagada,True
FV-95470,OC-95470,Paranice US,Internacional,Estados Unidos,2026-03-03,2026-03-18,15,7324100,0,Pagada,True
FV-95471,OC-95471,Distribuidor CR,Internacional,Costa Rica,2026-03-02,2026-04-16,45,4291000,0,Pagada,True
FV-95472,OC-95472,Éxito,Retail,Colombia,2026-03-01,2026-04-30,60,6294862,0,Pagada,True
