mes,cadena,ciudad,sku,producto,categoria,pdv_activos,unidades_sell_in,unidades_sell_out,valor_sell_out_cop,rotacion_und_pdv_mes,dias_sin_stock,inventario_cadena_und
2025-01,Tiendas naturistas,Cartagena,HAR-AVE,Harina de Avena,Avena & Harinas,4,21,17,629000,4.25,3,4
2025-01,Tiendas naturistas,Cartagena,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,4,11,10,492000,2.5,5,1
2025-01,Tiendas naturistas,Cartagena,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,4,5,4,196800,1.0,3,1
2025-01,Tiendas naturistas,Cartagena,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,4,34,33,1280400,8.25,4,1
2025-01,Tiendas naturistas,Cartagena,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,4,10,8,310400,2.0,3,2
2025-01,Tiendas naturistas,Cartagena,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,4,18,15,582000,3.75,0,3
2025-01,Tiendas naturistas,Manizales,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,1,4,3,111000,3.0,4,1
2025-01,Tiendas naturistas,Manizales,COM-3SPR,Three Pack Spread,Combos,1,1,0,0,0.0,0,1
2025-01,Tiendas naturistas,Manizales,COM-WAF,Mini Wafflera,Combos,1,2,2,236000,2.0,9,0
2025-01,Tiendas naturistas,Manizales,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,1,4,3,172050,3.0,6,1
2025-01,Tiendas naturistas,Manizales,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,1,3,2,149900,2.0,4,1
2025-01,Tiendas naturistas,Manizales,GRA-CHI,Chip Cookie,GranOLAS,1,5,4,179200,4.0,4,1
2025-01,Tiendas naturistas,Manizales,GRA-FUD,Fudge Cake,GranOLAS,1,10,8,358400,8.0,0,2
2025-01,Tiendas naturistas,Manizales,HAR-ALM,Harina de Almendra,Avena & Harinas,1,4,3,122700,3.0,2,1
2025-01,Tiendas naturistas,Manizales,HAR-AVE,Harina de Avena,Avena & Harinas,1,1,0,0,0.0,5,1
2025-01,Tiendas naturistas,Manizales,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,1,2,1,49200,1.0,3,1
2025-01,Tiendas naturistas,Manizales,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,1,3,2,98400,2.0,0,1
2025-01,Tiendas naturistas,Manizales,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,1,6,4,155200,4.0,3,2
2025-01,Tiendas naturistas,Manizales,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,1,6,5,194000,5.0,0,1
2025-01,Tiendas naturistas,Medellín,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,13,19,13,481000,1.0,6,6
2025-01,Tiendas naturistas,Medellín,COM-3GRA,Three Pack GranOLA,Combos,13,6,5,571000,0.38,2,1
2025-01,Tiendas naturistas,Medellín,COM-3SPR,Three Pack Spread,Combos,13,9,7,1063650,0.54,2,2
2025-01,Tiendas naturistas,Medellín,COM-WAF,Mini Wafflera,Combos,13,7,6,708000,0.46,2,1
2025-01,Tiendas naturistas,Medellín,ESP-CIN,Golden Cinnamon Roll,Esparcibles,13,7,5,286750,0.38,0,2
2025-01,Tiendas naturistas,Medellín,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,13,28,26,1491100,2.0,4,2
2025-01,Tiendas naturistas,Medellín,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,13,41,41,2351350,3.15,5,0
2025-01,Tiendas naturistas,Medellín,ESP-PB,Peanutty Banana Shake,Esparcibles,13,13,10,573500,0.77,0,3
2025-01,Tiendas naturistas,Medellín,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,13,25,22,1648900,1.69,0,3
2025-01,Tiendas naturistas,Medellín,GRA-CHI,Chip Cookie,GranOLAS,13,18,13,582400,1.0,1,5
2025-01,Tiendas naturistas,Medellín,GRA-FUD,Fudge Cake,GranOLAS,13,30,28,1254400,2.15,1,2
2025-01,Tiendas naturistas,Medellín,GRA-VAN,Vanilla Shortbread,GranOLAS,13,38,34,1523200,2.62,0,4
2025-01,Tiendas naturistas,Medellín,HAR-ALM,Harina de Almendra,Avena & Harinas,13,33,32,1308800,2.46,0,1
2025-01,Tiendas naturistas,Medellín,HAR-AVE,Harina de Avena,Avena & Harinas,13,47,47,1739000,3.62,4,0
2025-01,Tiendas naturistas,Medellín,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,13,21,20,984000,1.54,3,1
2025-01,Tiendas naturistas,Medellín,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,13,23,20,984000,1.54,4,3
2025-01,Tiendas naturistas,Medellín,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,13,28,26,1279200,2.0,4,2
2025-01,Tiendas naturistas,Medellín,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,13,20,20,776000,1.54,3,0
2025-01,Tiendas naturistas,Medellín,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,13,5,4,155200,0.31,3,1
2025-01,Tiendas naturistas,Medellín,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,13,2,1,38800,0.08,2,1
2025-01,Tiendas naturistas,Pereira,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,4,29,25,925000,6.25,7,4
2025-01,Tiendas naturistas,Pereira,COM-3GRA,Three Pack GranOLA,Combos,4,3,2,228400,0.5,0,1
2025-01,Tiendas naturistas,Pereira,COM-3SPR,Three Pack Spread,Combos,4,7,6,911700,1.5,8,1
2025-01,Tiendas naturistas,Pereira,COM-WAF,Mini Wafflera,Combos,4,10,10,1180000,2.5,2,0
2025-01,Tiendas naturistas,Pereira,ESP-CIN,Golden Cinnamon Roll,Esparcibles,4,15,13,745550,3.25,3,2
2025-01,Tiendas naturistas,Pereira,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,4,24,21,1204350,5.25,0,3
2025-01,Tiendas naturistas,Pereira,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,4,2,1,57350,0.25,5,1
2025-01,Tiendas naturistas,Pereira,ESP-PB,Peanutty Banana Shake,Esparcibles,4,48,47,2695450,11.75,0,1
2025-01,Tiendas naturistas,Pereira,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,4,12,10,749500,2.5,4,2
2025-01,Tiendas naturistas,Pereira,GRA-CHI,Chip Cookie,GranOLAS,4,11,9,403200,2.25,3,2
2025-01,Tiendas naturistas,Pereira,GRA-FUD,Fudge Cake,GranOLAS,4,2,1,44800,0.25,1,1
2025-01,Tiendas naturistas,Pereira,HAR-ALM,Harina de Almendra,Avena & Harinas,4,20,16,654400,4.0,7,4
2025-01,Tiendas naturistas,Pereira,HAR-AVE,Harina de Avena,Avena & Harinas,4,8,6,222000,1.5,2,2
2025-01,Tiendas naturistas,Pereira,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,4,7,5,246000,1.25,6,2
2025-01,Tiendas naturistas,Pereira,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,4,19,16,787200,4.0,4,3
2025-01,Tiendas naturistas,Pereira,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,4,15,11,541200,2.75,2,4
2025-01,Tiendas naturistas,Pereira,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,4,14,12,465600,3.0,5,2
2025-01,Tiendas naturistas,Pereira,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,4,13,12,465600,3.0,0,1
2025-01,Tiendas naturistas,Pereira,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,4,22,19,737200,4.75,0,3
2025-01,Éxito,Barranquilla,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,5,15,11,382800,2.2,0,4
2025-01,Éxito,Barranquilla,COM-3GRA,Three Pack GranOLA,Combos,5,18,14,1503600,2.8,0,4
2025-01,Éxito,Barranquilla,COM-3SPR,Three Pack Spread,Combos,5,29,28,4002600,5.6,0,1
2025-01,Éxito,Barranquilla,COM-WAF,Mini Wafflera,Combos,5,22,16,1776000,3.2,1,6
2025-01,Éxito,Barranquilla,ESP-CIN,Golden Cinnamon Roll,Esparcibles,5,4,4,215800,0.8,1,0
2025-01,Éxito,Barranquilla,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,5,68,49,2643550,9.8,0,19
2025-01,Éxito,Barranquilla,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,5,62,45,2427750,9.0,0,17
2025-01,Éxito,Barranquilla,ESP-PB,Peanutty Banana Shake,Esparcibles,5,44,32,1726400,6.4,7,12
2025-01,Éxito,Barranquilla,GRA-CHI,Chip Cookie,GranOLAS,5,28,25,1052500,5.0,5,3
2025-01,Éxito,Barranquilla,GRA-FUD,Fudge Cake,GranOLAS,5,40,35,1473500,7.0,4,5
2025-01,Éxito,Barranquilla,GRA-VAN,Vanilla Shortbread,GranOLAS,5,69,63,2652300,12.6,7,6
2025-01,Éxito,Barranquilla,HAR-ALM,Harina de Almendra,Avena & Harinas,5,248,247,9497150,49.4,3,1
2025-01,Éxito,Barranquilla,HAR-AVE,Harina de Avena,Avena & Harinas,5,301,292,10161600,58.4,0,9
2025-01,Éxito,Barranquilla,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,5,7,6,277800,1.2,0,1
2025-01,Éxito,Barranquilla,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,5,82,73,3379900,14.6,2,9
2025-01,Éxito,Barranquilla,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,5,38,34,1574200,6.8,0,4
2025-01,Éxito,Barranquilla,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,5,50,50,1825000,10.0,1,0
2025-01,Éxito,Barranquilla,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,5,80,75,2737500,15.0,2,5
2025-01,Éxito,Barranquilla,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,5,14,11,401500,2.2,0,3
2025-01,Éxito,Bogotá,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,22,300,271,9430800,12.32,2,29
2025-01,Éxito,Bogotá,COM-3GRA,Three Pack GranOLA,Combos,22,100,72,7732800,3.27,4,28
2025-01,Éxito,Bogotá,COM-3SPR,Three Pack Spread,Combos,22,68,58,8291100,2.64,2,10
2025-01,Éxito,Bogotá,COM-WAF,Mini Wafflera,Combos,22,71,66,7326000,3.0,1,5
2025-01,Éxito,Bogotá,ESP-CIN,Golden Cinnamon Roll,Esparcibles,22,159,153,8254350,6.95,10,6
2025-01,Éxito,Bogotá,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,22,156,146,7876700,6.64,7,10
2025-01,Éxito,Bogotá,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,22,242,175,9441250,7.95,1,67
2025-01,Éxito,Bogotá,ESP-PB,Peanutty Banana Shake,Esparcibles,22,100,88,4747600,4.0,5,12
2025-01,Éxito,Bogotá,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,22,168,133,9376500,6.05,0,35
2025-01,Éxito,Bogotá,GRA-CHI,Chip Cookie,GranOLAS,22,169,135,5683500,6.14,4,34
2025-01,Éxito,Bogotá,GRA-FUD,Fudge Cake,GranOLAS,22,185,143,6020300,6.5,2,42
2025-01,Éxito,Bogotá,GRA-VAN,Vanilla Shortbread,GranOLAS,22,654,487,20502700,22.14,4,167
2025-01,Éxito,Bogotá,HAR-ALM,Harina de Almendra,Avena & Harinas,22,315,310,11919500,14.09,0,5
2025-01,Éxito,Bogotá,HAR-AVE,Harina de Avena,Avena & Harinas,22,311,285,9918000,12.95,0,26
2025-01,Éxito,Bogotá,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,22,233,188,8704400,8.55,2,45
2025-01,Éxito,Bogotá,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,22,225,216,10000800,9.82,4,9
2025-01,Éxito,Bogotá,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,22,116,105,4861500,4.77,3,11
2025-01,Éxito,Bogotá,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,22,196,169,6168500,7.68,4,27
2025-01,Éxito,Bogotá,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,22,276,227,8285500,10.32,8,49
2025-01,Éxito,Bogotá,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,22,138,131,4781500,5.95,7,7
2025-01,Éxito,Bucaramanga,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,3,22,16,556800,5.33,7,6
2025-01,Éxito,Bucaramanga,COM-3GRA,Three Pack GranOLA,Combos,3,4,3,322200,1.0,7,1
2025-01,Éxito,Bucaramanga,COM-3SPR,Three Pack Spread,Combos,3,2,1,142950,0.33,0,1
2025-01,Éxito,Bucaramanga,ESP-CIN,Golden Cinnamon Roll,Esparcibles,3,40,37,1996150,12.33,3,3
2025-01,Éxito,Bucaramanga,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,3,26,25,1348750,8.33,3,1
2025-01,Éxito,Bucaramanga,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,3,11,10,539500,3.33,1,1
2025-01,Éxito,Bucaramanga,ESP-PB,Peanutty Banana Shake,Esparcibles,3,20,14,755300,4.67,0,6
2025-01,Éxito,Bucaramanga,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,3,15,12,846000,4.0,2,3
2025-01,Éxito,Bucaramanga,GRA-CHI,Chip Cookie,GranOLAS,3,46,39,1641900,13.0,5,7
2025-01,Éxito,Bucaramanga,GRA-VAN,Vanilla Shortbread,GranOLAS,3,12,9,378900,3.0,0,3
2025-01,Éxito,Bucaramanga,HAR-AVE,Harina de Avena,Avena & Harinas,3,84,66,2296800,22.0,0,18
2025-01,Éxito,Bucaramanga,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,3,8,6,277800,2.0,2,2
2025-01,Éxito,Bucaramanga,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,3,16,11,509300,3.67,2,5
2025-01,Éxito,Bucaramanga,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,3,29,25,1157500,8.33,0,4
2025-01,Éxito,Bucaramanga,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,3,25,21,766500,7.0,2,4
2025-01,Éxito,Bucaramanga,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,3,22,16,584000,5.33,0,6
2025-01,Éxito,Bucaramanga,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,3,30,25,912500,8.33,0,5
2025-01,Éxito,Cali,COM-3GRA,Three Pack GranOLA,Combos,2,28,26,2792400,13.0,9,2
2025-01,Éxito,Cali,ESP-CIN,Golden Cinnamon Roll,Esparcibles,2,15,14,755300,7.0,5,1
2025-01,Éxito,Cali,HAR-AVE,Harina de Avena,Avena & Harinas,2,35,29,1009200,14.5,0,6
2025-01,Éxito,Cali,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,2,21,20,926000,10.0,2,1
2025-01,Éxito,Cali,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,2,79,60,2190000,30.0,2,19
2025-01,Éxito,Cali,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,2,32,31,1131500,15.5,7,1
2025-01,Éxito,Cartagena,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,3,6,5,174000,1.67,0,1
2025-01,Éxito,Cartagena,COM-3GRA,Three Pack GranOLA,Combos,3,12,10,1074000,3.33,5,2
2025-01,Éxito,Cartagena,COM-WAF,Mini Wafflera,Combos,3,10,9,999000,3.0,6,1
2025-01,Éxito,Cartagena,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,3,21,15,809250,5.0,0,6
2025-01,Éxito,Cartagena,ESP-PB,Peanutty Banana Shake,Esparcibles,3,14,12,647400,4.0,4,2
2025-01,Éxito,Cartagena,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,3,7,6,423000,2.0,1,1
2025-01,Éxito,Cartagena,GRA-FUD,Fudge Cake,GranOLAS,3,38,28,1178800,9.33,2,10
2025-01,Éxito,Cartagena,GRA-VAN,Vanilla Shortbread,GranOLAS,3,29,27,1136700,9.0,0,2
2025-01,Éxito,Cartagena,HAR-ALM,Harina de Almendra,Avena & Harinas,3,13,9,346050,3.0,2,4
2025-01,Éxito,Cartagena,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,3,23,23,1064900,7.67,0,0
2025-01,Éxito,Cartagena,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,3,3,2,92600,0.67,8,1
