mes,seccion,publicaciones,visitas,pedidos_asistidos,tiempo_medio_seg
2025-12,Brunch,1,2941,68,200
2025-12,Desserts,4,4240,92,192
2025-12,Bebidas y Helados,3,912,10,71
2025-12,Recipe,1,746,21,118
2025-12,Snacks,3,2932,79,67
2025-12,The Paranice Lab,1,4252,126,190
2026-01,Baked Goods,2,4058,50,59
2026-01,Brunch,2,2321,75,164
2026-01,Desserts,3,1551,14,176
2026-01,Bebidas y Helados,4,2251,71,93
2026-01,Recipe,2,2062,50,119
2026-01,Snacks,4,1544,17,191
2026-01,The Paranice Lab,4,814,17,188
2026-02,Baked Goods,4,1159,18,140
2026-02,Brunch,1,5104,152,207
2026-02,Desserts,2,1447,38,180
2026-02,Bebidas y Helados,2,2635,31,69
2026-02,Recipe,1,5009,52,134
2026-02,Snacks,3,3428,50,155
2026-02,The Paranice Lab,2,818,9,119
2026-03,Baked Goods,2,1895,52,90
2026-03,Brunch,4,2485,78,131
2026-03,Desserts,3,3518,122,57
2026-03,Bebidas y Helados,4,2927,99,129
2026-03,Recipe,1,4259,44,146
2026-03,Snacks,1,1645,20,158
2026-03,The Paranice Lab,2,2424,55,127
2026-04,Baked Goods,3,5012,158,161
2026-04,Brunch,1,954,11,195
2026-04,Desserts,2,4988,99,133
2026-04,Bebidas y Helados,1,822,14,79
2026-04,Recipe,2,4520,97,125
2026-04,Snacks,1,5147,97,160
2026-04,The Paranice Lab,2,2097,56,195
2026-05,Baked Goods,2,3420,108,62
2026-05,Brunch,4,4738,97,145
2026-05,Desserts,2,3791,111,64
2026-05,Bebidas y Helados,1,3868,31,71
2026-05,Recipe,1,2780,40,60
2026-05,Snacks,4,2542,70,134
2026-05,The Paranice Lab,3,2026,42,174
2026-06,Baked Goods,4,1420,25,90
2026-06,Brunch,4,4715,82,119
2026-06,Desserts,3,1383,19,138
2026-06,Bebidas y Helados,3,1516,25,163
2026-06,Recipe,3,4054,66,47
2026-06,Snacks,4,3091,54,163
2026-06,The Paranice Lab,2,4844,55,73
2026-07,Baked Goods,3,2963,23,197
2026-07,Brunch,1,1359,30,151
2026-07,Desserts,3,3740,64,65
2026-07,Bebidas y Helados,3,3829,131,181
2026-07,Recipe,2,3309,93,179
2026-07,Snacks,2,1005,19,199
2026-07,The Paranice Lab,2,4136,102,207
2026-08,Baked Goods,3,4864,40,198
2026-08,Brunch,4,1461,21,130
2026-08,Desserts,4,3246,99,182
2026-08,Bebidas y Helados,1,3746,98,129
2026-08,Recipe,4,2988,28,75
2026-08,Snacks,3,5115,173,53
2026-08,The Paranice Lab,4,3359,76,163
