mes,canal,inversion_cop,impresiones,clics,pedidos,clientes_nuevos,ingresos_cop,cac_cop,roas
2025-06,TikTok Ads,7435775,287631,9533,312,222,17879171,33494,2.4
2025-06,WhatsApp,1324918,70058,1698,203,147,12022279,9013,9.07
2025-07,Email (Omnisend),1239215,60024,1588,245,169,14276535,7332,11.52
2025-07,Google Ads,7551685,360899,9681,470,334,27899320,22609,3.69
2025-07,Influencers,6383636,246830,8184,290,206,16693962,30988,2.62
2025-07,Meta Ads,14890868,531135,19090,750,522,41603762,28526,2.79
2025-07,Orgánico/SEO,0,169417,4596,420,303,23607848,0,
2025-07,TikTok Ads,7601756,342949,9745,279,214,17100307,35522,2.25
2025-07,WhatsApp,1018986,66664,1306,163,113,9655200,9017,9.48
2025-08,Email (Omnisend),1640426,105939,2103,307,208,17688122,7886,10.78
2025-08,Google Ads,7633022,496849,9785,541,383,31004782,19929,4.06
2025-08,Influencers,5711166,322911,7322,336,229,18215332,24939,3.19
2025-08,Meta Ads,17836030,648844,22866,865,591,49379062,30179,2.77
2025-08,Orgánico/SEO,0,283492,5519,466,324,25507858,0,
2025-08,TikTok Ads,5979922,201998,7666,276,187,16026041,31978,2.68
2025-08,WhatsApp,1250718,45782,1603,216,150,12147661,8338,9.71
2025-09,Email (Omnisend),1732988,105331,2221,325,237,18989880,7312,10.96
2025-09,Google Ads,8896946,334203,11406,632,432,36226345,20594,4.07
2025-09,Influencers,8232649,372070,10554,391,277,23698283,29720,2.88
2025-09,Meta Ads,18265324,908788,23417,1027,717,57409382,25474,3.14
2025-09,Orgánico/SEO,0,242518,7381,505,357,27348789,0,
2025-09,TikTok Ads,8933847,572175,11453,395,274,21890881,32605,2.45
2025-09,WhatsApp,1528081,86676,1959,293,202,15668267,7564,10.25
2025-10,Email (Omnisend),2029794,85348,2602,346,232,19074955,8749,9.4
2025-10,Google Ads,7763432,510377,9953,624,423,37008889,18353,4.77
2025-10,Influencers,9958428,594384,12767,459,304,26388163,32757,2.65
2025-10,Meta Ads,17913345,982855,22965,1086,735,62433148,24371,3.49
2025-10,Orgánico/SEO,0,333915,7693,562,356,32036743,0,
2025-10,TikTok Ads,10040033,453549,12871,427,293,24236710,34266,2.41
2025-10,WhatsApp,1599866,73444,2051,276,206,15224134,7766,9.52
2025-11,Email (Omnisend),2688262,110218,3446,470,320,28334212,8400,10.54
2025-11,Google Ads,9768199,340784,12523,796,518,48146996,18857,4.93
2025-11,Influencers,10117465,600984,12971,491,335,29705103,30201,2.94
2025-11,Meta Ads,25373092,920842,32529,1398,960,84512054,26430,3.33
2025-11,Orgánico/SEO,0,367136,8169,666,438,40655635,0,
2025-11,TikTok Ads,15170114,798919,19448,530,357,31490922,42493,2.08
2025-11,WhatsApp,2387421,83029,3060,335,221,20218408,10802,8.47
2025-12,Email (Omnisend),2132629,76346,2734,351,223,23246747,9563,10.9
2025-12,Google Ads,8276884,520975,10611,616,411,40182780,20138,4.85
2025-12,Influencers,8881455,388615,11386,426,271,26352783,32772,2.97
2025-12,Meta Ads,20427152,1007122,26188,1081,722,70785061,28292,3.47
2025-12,Orgánico/SEO,0,380888,7521,530,347,35086576,0,
2025-12,TikTok Ads,11339502,644651,14537,424,286,27825154,39648,2.45
2025-12,WhatsApp,1965424,98893,2519,269,176,17781443,11167,9.05
2026-01,Email (Omnisend),2460477,108136,3154,358,234,24593259,10514,10.0
2026-01,Google Ads,9940668,430531,12744,680,432,46094271,23010,4.64
2026-01,Influencers,11447523,598053,14676,442,283,30899924,40450,2.7
2026-01,Meta Ads,23172457,803691,29708,1171,743,75518602,31187,3.26
2026-01,Orgánico/SEO,0,238791,7303,555,368,38553192,0,
2026-01,TikTok Ads,13535707,531244,17353,420,269,28123308,50318,2.08
2026-01,WhatsApp,1850387,99043,2372,280,152,19081097,12173,10.31
2026-02,Email (Omnisend),2189810,96708,2807,335,208,22012767,10527,10.05
2026-02,Google Ads,8839706,457702,11332,578,378,38021916,23385,4.3
2026-02,Influencers,7370672,268851,9449,375,233,24086245,31633,3.27
2026-02,Meta Ads,19908821,935904,25524,969,603,63487711,33016,3.19
2026-02,Orgánico/SEO,0,195016,5500,500,333,33159323,0,
2026-02,TikTok Ads,12105465,759368,15519,385,253,25793266,47847,2.13
2026-02,WhatsApp,1865213,101955,2391,223,140,15436559,13322,8.28
2026-03,Email (Omnisend),1702995,56939,2183,316,194,20178485,8778,11.85
2026-03,Google Ads,9353440,552637,11991,522,316,35042014,29599,3.75
2026-03,Influencers,8636208,555280,11072,391,245,24804039,35249,2.87
2026-03,Meta Ads,20498965,1031787,26280,973,594,65189352,34510,3.18
2026-03,Orgánico/SEO,0,197618,6160,489,310,33951823,0,
2026-03,TikTok Ads,11027277,676349,14137,378,221,26985554,49897,2.45
2026-03,WhatsApp,2180937,131595,2796,252,151,17260760,14443,7.91
2026-04,Email (Omnisend),1849934,67628,2371,279,180,18446986,10277,9.97
2026-04,Google Ads,7379413,452014,9460,521,312,33148420,23651,4.49
2026-04,Influencers,7243361,363911,9286,324,195,22020143,37145,3.04
2026-04,Meta Ads,22230814,1161961,28501,907,568,62159807,39138,2.8
2026-04,Orgánico/SEO,0,197035,4715,476,297,31835698,0,
2026-04,TikTok Ads,8955631,310294,11481,346,227,23356408,39452,2.61
2026-04,WhatsApp,1351485,53729,1732,217,139,13967076,9722,10.33
2026-05,Email (Omnisend),1989062,132452,2550,343,208,22755018,9562,11.44
2026-05,Google Ads,8905026,309641,11416,637,372,43015641,23938,4.83
2026-05,Influencers,9373778,529358,12017,378,224,25629065,41847,2.73
2026-05,Meta Ads,20465940,942515,26238,1031,602,69459136,33996,3.39
2026-05,Orgánico/SEO,0,175387,5802,532,327,34087212,0,
2026-05,TikTok Ads,10300314,676025,13205,392,226,24626388,45576,2.39
2026-05,WhatsApp,2129572,80851,2730,259,158,17407812,13478,8.17
2026-06,Email (Omnisend),1958041,120911,2510,322,190,22292028,10305,11.38
2026-06,Google Ads,7495097,304044,9609,548,318,36105028,23569,4.82
2026-06,Influencers,8722354,559942,11182,420,264,27206065,33039,3.12
2026-06,Meta Ads,23129148,1047291,29652,1018,580,68596945,39877,2.97
2026-06,Orgánico/SEO,0,325835,8159,519,300,35397906,0,
2026-06,TikTok Ads,9032673,493534,11580,359,210,23491607,43012,2.6
2026-06,WhatsApp,1607741,106328,2061,242,150,16493758,10718,10.26
2026-07,Email (Omnisend),1666807,83546,2136,325,183,20794991,9108,12.48
2026-07,Google Ads,7766613,383199,9957,496,288,32402167,26967,4.17
2026-07,Influencers,6886683,290883,8829,336,188,21637440,36631,3.14
2026-07,Meta Ads,16409026,850340,21037,885,507,57914816,32364,3.53
2026-07,Orgánico/SEO,0,227551,4626,457,272,30749290,0,
2026-07,TikTok Ads,12078638,514154,15485,385,236,26678099,51180,2.21
2026-07,WhatsApp,1483160,83861,1901,210,119,13528510,12463,9.12
2026-08,Email (Omnisend),2365388,119010,3032,344,208,23841858,11372,10.08
2026-08,Google Ads,9242411,546780,11849,567,328,38727988,28178,4.19
2026-08,Influencers,9480969,589093,12155,376,220,24776628,43095,2.61
2026-08,Meta Ads,20524162,1108813,26313,989,550,66508565,37316,3.24
2026-08,Orgánico/SEO,0,205609,6811,481,276,29528944,0,
2026-08,TikTok Ads,13078530,496882,16767,389,225,26953735,58126,2.06
2026-08,WhatsApp,1579650,104206,2025,252,136,16035403,11615,10.15
