lote_id,fecha,mes,sku,producto,categoria,unidades_planeadas,unidades_producidas,merma_pct,cumplimiento_plan_pct,turno,linea,es_sin_gluten,gluten_ppm,estado_calidad,costo_lote_cop,vida_util_dias
L-7095,2025-08-05,2025-08,GRA-FUD,Fudge Cake,GranOLAS,1598,1559,2.38,97.6,Tarde,Línea 2 · Molienda,True,9.6,Aprobado,22605500,325
L-7096,2025-08-05,2025-08,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,2365,2273,3.88,96.1,Mañana,Línea 1 · Hornos,True,11.6,Aprobado,45232700,353
L-7097,2025-08-06,2025-08,GRA-VAN,Vanilla Shortbread,GranOLAS,889,887,0.2,99.8,Tarde,Línea 3 · Cremas,True,7.6,Aprobado,12506700,193
L-7098,2025-08-06,2025-08,GRA-CHI,Chip Cookie,GranOLAS,668,649,2.71,97.2,Tarde,Línea 1 · Hornos,True,6.8,Aprobado,9313150,236
L-7099,2025-08-06,2025-08,ESP-BABY,Baby Spreads,Esparcibles,894,871,2.51,97.4,Tarde,Línea 1 · Hornos,True,0.0,Aprobado,6619600,326
L-7100,2025-08-07,2025-08,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,1596,1504,5.72,94.2,Tarde,Línea 1 · Hornos,True,2.1,Aprobado,17747200,254
L-7101,2025-08-07,2025-08,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,1231,1183,3.86,96.1,Mañana,Línea 3 · Cremas,True,8.0,Aprobado,23541700,254
L-7102,2025-08-08,2025-08,ESP-BABY,Baby Spreads,Esparcibles,646,627,2.89,97.1,Mañana,Línea 2 · Molienda,True,4.4,Aprobado,4765200,333
L-7103,2025-08-08,2025-08,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,2271,2182,3.91,96.1,Mañana,Línea 2 · Molienda,True,9.6,Aprobado,27056800,360
L-7104,2025-08-08,2025-08,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,694,692,0.2,99.7,Tarde,Línea 2 · Molienda,True,3.0,Aprobado,11210400,269
L-7105,2025-08-08,2025-08,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,791,758,4.11,95.8,Mañana,Línea 1 · Hornos,True,8.2,Aprobado,12279600,284
L-7106,2025-08-08,2025-08,ESP-BABY,Baby Spreads,Esparcibles,1469,1413,3.77,96.2,Mañana,Línea 3 · Cremas,True,9.9,Aprobado,10738800,283
L-7107,2025-08-11,2025-08,GRA-FUD,Fudge Cake,GranOLAS,1594,1531,3.92,96.0,Mañana,Línea 3 · Cremas,True,2.7,Aprobado,22199500,342
L-7108,2025-08-11,2025-08,GRA-FUD,Fudge Cake,GranOLAS,1164,1141,1.94,98.0,Tarde,Línea 3 · Cremas,True,0.1,Aprobado,16544500,271
L-7109,2025-08-11,2025-08,GRA-VAN,Vanilla Shortbread,GranOLAS,830,804,3.07,96.9,Tarde,Línea 1 · Hornos,True,0.4,Aprobado,11336400,214
L-7110,2025-08-12,2025-08,GRA-CHI,Chip Cookie,GranOLAS,1063,1027,3.34,96.6,Tarde,Línea 2 · Molienda,True,6.2,Aprobado,14737450,341
L-7111,2025-08-12,2025-08,GRA-FUD,Fudge Cake,GranOLAS,1740,1653,4.97,95.0,Mañana,Línea 2 · Molienda,True,8.2,Aprobado,23968500,303
L-7112,2025-08-12,2025-08,ESP-CIN,Golden Cinnamon Roll,Esparcibles,1952,1948,0.2,99.8,Tarde,Línea 2 · Molienda,True,3.8,Aprobado,38375600,215
L-7113,2025-08-12,2025-08,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,1496,1462,2.22,97.7,Tarde,Línea 2 · Molienda,True,2.5,Aprobado,23684400,233
L-7114,2025-08-13,2025-08,HAR-AVE,Harina de Avena,Avena & Harinas,1642,1561,4.9,95.1,Mañana,Línea 3 · Cremas,True,5.6,Aprobado,18107600,262
L-7115,2025-08-13,2025-08,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,403,396,1.55,98.3,Tarde,Línea 3 · Cremas,True,11.7,Aprobado,4910400,212
L-7116,2025-08-13,2025-08,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,669,667,0.2,99.7,Tarde,Línea 2 · Molienda,True,2.9,Aprobado,10805400,216
L-7117,2025-08-14,2025-08,HAR-ALM,Harina de Almendra,Avena & Harinas,2251,2204,2.06,97.9,Mañana,Línea 2 · Molienda,True,5.8,Aprobado,33941600,211
L-7118,2025-08-14,2025-08,COM-WAF,Mini Wafflera,Combos,1169,1164,0.38,99.6,Tarde,Línea 2 · Molienda,False,,Aprobado,67512000,215
L-7119,2025-08-14,2025-08,HAR-ALM,Harina de Almendra,Avena & Harinas,2065,2040,1.19,98.8,Mañana,Línea 1 · Hornos,True,7.3,Aprobado,31416000,303
L-7120,2025-08-14,2025-08,HAR-AVE,Harina de Avena,Avena & Harinas,801,765,4.48,95.5,Mañana,Línea 3 · Cremas,True,7.5,Aprobado,8874000,200
L-7121,2025-08-14,2025-08,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,1652,1643,0.51,99.5,Tarde,Línea 1 · Hornos,True,0.8,Aprobado,26945200,245
L-7122,2025-08-15,2025-08,GRA-VAN,Vanilla Shortbread,GranOLAS,1516,1438,5.13,94.9,Tarde,Línea 1 · Hornos,True,7.5,Aprobado,20275800,212
L-7123,2025-08-15,2025-08,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,2366,2297,2.89,97.1,Tarde,Línea 2 · Molienda,True,5.8,Aprobado,29401600,238
L-7124,2025-08-18,2025-08,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,999,963,3.52,96.4,Mañana,Línea 1 · Hornos,True,11.5,Aprobado,11941200,336
L-7125,2025-08-18,2025-08,COM-MIX,Perfect Mix & Match,Combos,670,659,1.64,98.4,Mañana,Línea 2 · Molienda,True,2.3,Aprobado,19835900,188
L-7126,2025-08-19,2025-08,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,2037,1966,3.47,96.5,Mañana,Línea 1 · Hornos,True,4.9,Aprobado,39516600,228
L-7127,2025-08-19,2025-08,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,667,665,0.2,99.7,Tarde,Línea 1 · Hornos,True,11.5,Aprobado,8512000,180
L-7128,2025-08-19,2025-08,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,906,880,2.82,97.1,Mañana,Línea 3 · Cremas,True,7.2,Aprobado,10384000,197
L-7129,2025-08-19,2025-08,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,435,425,2.19,97.7,Mañana,Línea 2 · Molienda,True,10.5,Aprobado,5440000,204
L-7130,2025-08-20,2025-08,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,920,911,0.9,99.0,Tarde,Línea 3 · Cremas,True,8.6,Aprobado,11660800,276
L-7131,2025-08-20,2025-08,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,1314,1280,2.58,97.4,Tarde,Línea 1 · Hornos,True,6.0,Aprobado,20736000,231
L-7132,2025-08-20,2025-08,ESP-CIN,Golden Cinnamon Roll,Esparcibles,486,482,0.82,99.2,Mañana,Línea 2 · Molienda,True,8.5,Aprobado,9495400,290
L-7133,2025-08-20,2025-08,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,2519,2506,0.48,99.5,Mañana,Línea 3 · Cremas,True,19.2,Cuarentena,41098400,209
L-7134,2025-08-20,2025-08,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,1183,1142,3.39,96.5,Mañana,Línea 3 · Cremas,True,22.0,Rechazado,14160800,271
L-7135,2025-08-21,2025-08,HAR-AVE,Harina de Avena,Avena & Harinas,2336,2305,1.31,98.7,Tarde,Línea 3 · Cremas,True,0.5,Aprobado,26738000,185
L-7136,2025-08-21,2025-08,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,2162,2102,2.76,97.2,Tarde,Línea 1 · Hornos,True,9.1,Aprobado,34893200,355
L-7137,2025-08-22,2025-08,COM-MIX,Perfect Mix & Match,Combos,2037,1962,3.63,96.3,Mañana,Línea 1 · Hornos,True,0.5,Aprobado,59056200,262
L-7138,2025-08-22,2025-08,GRA-PIS,Pistachio Cookie,GranOLAS,2316,2277,1.66,98.3,Mañana,Línea 2 · Molienda,True,5.5,Aprobado,42352200,243
L-7139,2025-08-22,2025-08,ESP-CIN,Golden Cinnamon Roll,Esparcibles,1443,1359,5.8,94.2,Mañana,Línea 2 · Molienda,True,3.6,Aprobado,26772300,300
L-7140,2025-08-22,2025-08,HAR-AVE,Harina de Avena,Avena & Harinas,1810,1767,2.36,97.6,Mañana,Línea 1 · Hornos,True,8.4,Aprobado,20497200,266
L-7141,2025-08-22,2025-08,GRA-FUD,Fudge Cake,GranOLAS,908,892,1.73,98.2,Mañana,Línea 3 · Cremas,True,0.1,Aprobado,12934000,259
L-7142,2025-08-25,2025-08,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,2484,2447,1.47,98.5,Mañana,Línea 1 · Hornos,True,6.6,Aprobado,30342800,350
L-7143,2025-08-25,2025-08,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,2024,1972,2.53,97.4,Mañana,Línea 2 · Molienda,True,9.1,Aprobado,31946400,292
L-7144,2025-08-25,2025-08,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,1474,1406,4.58,95.4,Mañana,Línea 3 · Cremas,True,5.0,Aprobado,17996800,271
L-7145,2025-08-25,2025-08,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,1424,1406,1.22,98.7,Tarde,Línea 1 · Hornos,True,3.9,Aprobado,23339600,206
L-7146,2025-08-25,2025-08,ESP-CIN,Golden Cinnamon Roll,Esparcibles,1175,1079,8.09,91.8,Tarde,Línea 3 · Cremas,True,6.5,Aprobado,21256300,252
L-7147,2025-08-26,2025-08,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,1535,1495,2.55,97.4,Mañana,Línea 1 · Hornos,True,8.6,Aprobado,17641000,246
