envio_id,pedido_id,fecha_pedido,fecha_entrega_prometida,fecha_entrega_real,dias_transito,pais_destino,ciudad_destino,transportadora,estado,entregado_a_tiempo,costo_envio_cop,valor_pedido_cop
ENV-100039,PED-100039,2025-01-02,2025-01-05,2025-01-05,3,Colombia,Medellín,Coordinadora,Entregado,True,15270,359700
ENV-100040,PED-100040,2025-01-02,2025-01-06,2025-01-06,4,Colombia,Barranquilla,Coordinadora,Entregado,True,10224,90000
ENV-100041,PED-100041,2025-01-02,2025-01-05,2025-01-05,3,Colombia,Cali,Coordinadora,Entregado,True,10360,79211
ENV-100042,PED-100042,2025-01-02,2025-01-04,2025-01-04,2,Colombia,Medellín,Servientrega,Entregado,True,15414,83380
ENV-100043,PED-100043,2025-01-02,2025-01-05,2025-01-05,3,Colombia,Bucaramanga,Servientrega,Entregado,True,11860,31350
ENV-100044,PED-100044,2025-01-02,2025-01-04,2025-01-04,2,Colombia,Bogotá,TCC,Entregado,True,9387,94050
ENV-100045,PED-100045,2025-01-02,2025-01-06,2025-01-06,4,Colombia,Bucaramanga,Servientrega,Entregado,True,10919,125070
ENV-100046,PED-100046,2025-01-02,2025-01-06,2025-01-06,4,Colombia,Medellín,Coordinadora,Entregado,True,15381,37950
ENV-100047,PED-100047,2025-01-03,2025-01-05,2025-01-05,2,Colombia,Bogotá,Servientrega,Entregado,True,14193,56000
ENV-100048,PED-100048,2025-01-03,2025-01-05,2025-01-05,2,Colombia,Bogotá,TCC,Entregado,True,11256,48590
ENV-100049,PED-100049,2025-01-03,2025-01-07,2025-01-07,4,Colombia,Cali,TCC,Entregado,True,12196,239800
ENV-100050,PED-100050,2025-01-03,2025-01-05,2025-01-05,2,Colombia,Pereira,Servientrega,Entregado,True,12245,106310
ENV-100051,PED-100051,2025-01-03,2025-01-06,2025-01-06,3,Colombia,Pereira,Servientrega,Entregado,True,10589,41690
ENV-100052,PED-100052,2025-01-03,2025-01-07,2025-01-07,4,Colombia,Barranquilla,TCC,Entregado,True,13709,145770
ENV-100053,PED-100053,2025-01-03,2025-01-05,2025-01-10,7,Colombia,Bucaramanga,Coordinadora,Entregado,False,13896,239800
ENV-100054,PED-100054,2025-01-03,2025-01-05,2025-01-05,2,Colombia,Cali,Servientrega,Entregado,True,12987,41690
ENV-100055,PED-100055,2025-01-03,2025-01-05,2025-01-05,2,Colombia,Barranquilla,Servientrega,Entregado,True,10893,113850
ENV-100056,PED-100056,2025-01-03,2025-01-05,2025-01-05,2,Colombia,Cali,TCC,Entregado,True,12912,70873
ENV-100057,PED-100057,2025-01-03,2025-01-06,2025-01-06,3,Colombia,Cali,TCC,Entregado,True,13638,145770
ENV-100058,PED-100058,2025-01-03,2025-01-07,2025-01-07,4,Colombia,Barranquilla,TCC,Entregado,True,11256,179800
ENV-100059,PED-100059,2025-01-03,2025-01-05,2025-01-05,2,Colombia,Medellín,Servientrega,Entregado,True,11289,83380
ENV-100060,PED-100060,2025-01-03,2025-01-07,2025-01-07,4,Colombia,Bogotá,TCC,Entregado,True,14998,125070
ENV-100061,PED-100061,2025-01-03,2025-01-05,2025-01-05,2,Colombia,Barranquilla,Servientrega,Entregado,True,9884,62700
ENV-100062,PED-100062,2025-01-03,2025-01-05,2025-01-05,2,Colombia,Bucaramanga,Servientrega,Entregado,True,13779,179800
ENV-100063,PED-100063,2025-01-03,2025-01-07,2025-01-07,4,Colombia,Barranquilla,Servientrega,Entregado,True,11251,56000
ENV-100064,PED-100064,2025-01-03,2025-01-07,2025-01-07,4,Colombia,Medellín,Servientrega,Entregado,True,14905,62700
ENV-100065,PED-100065,2025-01-03,2025-01-05,2025-01-05,2,Colombia,Barranquilla,Servientrega,Entregado,True,11032,37950
ENV-100066,PED-100066,2025-01-03,2025-01-06,2025-01-06,3,Colombia,Cali,TCC,Entregado,True,15551,48590
ENV-100067,PED-100067,2025-01-03,2025-01-07,2025-01-07,4,Colombia,Bogotá,Servientrega,Entregado,True,11742,37950
ENV-100068,PED-100068,2025-01-03,2025-01-05,2025-01-05,2,Colombia,Medellín,Coordinadora,Entregado,True,11410,83380
ENV-100069,PED-100069,2025-01-04,2025-01-08,2025-01-08,4,Colombia,Barranquilla,Coordinadora,Entregado,True,14594,113850
ENV-100070,PED-100070,2025-01-04,2025-01-08,2025-01-08,4,Colombia,Barranquilla,TCC,Entregado,True,13207,145770
ENV-100071,PED-100071,2025-01-04,2025-01-08,2025-01-08,4,Colombia,Bogotá,Coordinadora,Entregado,True,9304,84000
ENV-100072,PED-100072,2025-01-04,2025-01-08,2025-01-08,4,Colombia,Barranquilla,TCC,Entregado,True,9841,37521
ENV-100073,PED-100073,2025-01-04,2025-01-08,2025-01-13,9,Colombia,Barranquilla,TCC,Entregado,False,9234,37950
ENV-100074,PED-100074,2025-01-04,2025-01-08,2025-01-10,6,Colombia,Barranquilla,TCC,Entregado,False,14651,125070
ENV-100075,PED-100075,2025-01-04,2025-01-06,2025-01-06,2,Colombia,Cali,Coordinadora,Entregado,True,13785,41690
ENV-100076,PED-100076,2025-01-04,2025-01-06,2025-01-06,2,Colombia,Pereira,Coordinadora,Entregado,True,12442,135000
ENV-100077,PED-100077,2025-01-04,2025-01-08,2025-01-08,4,Colombia,Pereira,TCC,Entregado,True,13545,145770
ENV-100078,PED-100078,2025-01-04,2025-01-06,2025-01-06,2,Colombia,Barranquilla,Servientrega,Entregado,True,12866,72105
ENV-100079,PED-100079,2025-01-04,2025-01-06,2025-01-06,2,Colombia,Medellín,Coordinadora,Entregado,True,10747,269700
ENV-100080,PED-100080,2025-01-04,2025-01-08,2025-01-13,9,Colombia,Barranquilla,TCC,Entregado,False,15586,34650
ENV-100081,PED-100081,2025-01-04,2025-01-08,2025-01-08,4,Colombia,Cali,Coordinadora,Entregado,True,11130,48590
ENV-100082,PED-100082,2025-01-04,2025-01-08,2025-01-08,4,Colombia,Pereira,TCC,Entregado,True,15482,102465
ENV-100083,PED-100083,2025-01-04,2025-01-07,2025-01-07,3,Colombia,Pereira,TCC,Entregado,True,13118,75900
ENV-100084,PED-100084,2025-01-04,2025-01-07,2025-01-07,3,Colombia,Cali,Coordinadora,Entregado,True,15513,113850
ENV-100085,PED-100085,2025-01-04,2025-01-07,2025-01-07,3,Colombia,Cali,Servientrega,Entregado,True,14950,37950
ENV-100086,PED-100086,2025-01-04,2025-01-07,2025-01-07,3,Colombia,Cali,Servientrega,Entregado,True,11490,269700
ENV-100087,PED-100087,2025-01-05,2025-01-09,2025-01-09,4,Colombia,Pereira,Servientrega,Entregado,True,15596,31350
ENV-100088,PED-100088,2025-01-05,2025-01-07,2025-01-07,2,Colombia,Bogotá,Servientrega,Entregado,True,14706,239800
ENV-100089,PED-100089,2025-01-05,2025-01-07,2025-01-07,2,Colombia,Pereira,Servientrega,Entregado,True,12746,75900
ENV-100090,PED-100090,2025-01-05,2025-01-08,2025-01-08,3,Colombia,Bucaramanga,TCC,Entregado,True,11975,45000
ENV-100091,PED-100091,2025-01-05,2025-01-07,2025-01-07,2,Colombia,Medellín,Coordinadora,Entregado,True,14235,89900
ENV-100092,PED-100092,2025-01-05,2025-01-09,2025-01-09,4,Colombia,Cali,TCC,Entregado,True,9050,102465
ENV-100093,PED-100093,2025-01-05,2025-01-07,2025-01-07,2,Colombia,Medellín,TCC,Entregado,True,13222,89900
ENV-100094,PED-100094,2025-01-05,2025-01-08,2025-01-08,3,Colombia,Bucaramanga,TCC,Entregado,True,9315,83380
ENV-100095,PED-100095,2025-01-05,2025-01-08,2025-01-08,3,Colombia,Cali,TCC,Entregado,True,13066,37950
ENV-100096,PED-100096,2025-01-05,2025-01-08,2025-01-08,3,Colombia,Bucaramanga,TCC,Entregado,True,14443,56000
ENV-100097,PED-100097,2025-01-05,2025-01-07,2025-01-07,2,Colombia,Barranquilla,TCC,Entregado,True,11405,145770
ENV-100098,PED-100098,2025-01-05,2025-01-08,2025-01-08,3,Colombia,Bucaramanga,TCC,Entregado,True,9342,84000
ENV-100099,PED-100099,2025-01-05,2025-01-07,2025-01-07,2,Colombia,Bucaramanga,Coordinadora,Entregado,True,11084,87462
ENV-100100,PED-100100,2025-01-05,2025-01-09,2025-01-09,4,Colombia,Cali,Coordinadora,Entregado,True,10883,125070
ENV-100101,PED-100101,2025-01-05,2025-01-07,2025-01-07,2,Colombia,Medellín,Coordinadora,Entregado,True,11978,75900
ENV-100102,PED-100102,2025-01-05,2025-01-09,2025-01-09,4,Colombia,Pereira,Servientrega,Entregado,True,14095,37950
ENV-100103,PED-100103,2025-01-05,2025-01-09,2025-01-09,4,Colombia,Medellín,TCC,Entregado,True,14023,125070
ENV-100104,PED-100104,2025-01-05,2025-01-07,2025-01-07,2,Colombia,Barranquilla,TCC,Entregado,True,12666,125070
ENV-100105,PED-100105,2025-01-05,2025-01-09,2025-01-09,4,Colombia,Bogotá,TCC,Entregado,True,9494,84000
ENV-100106,PED-100106,2025-01-05,2025-01-09,2025-01-09,4,Colombia,Medellín,Servientrega,Entregado,True,10586,75900
ENV-100107,PED-100107,2025-01-05,2025-01-09,2025-01-09,4,Colombia,Bogotá,TCC,Entregado,True,12295,83380
ENV-100108,PED-100108,2025-01-05,2025-01-08,2025-01-08,3,Colombia,Pereira,Servientrega,Entregado,True,13018,75900
ENV-100109,PED-100109,2025-01-05,2025-01-07,2025-01-07,2,Colombia,Pereira,TCC,Entregado,True,11407,145770
ENV-100110,PED-100110,2025-01-05,2025-01-08,2025-01-08,3,Colombia,Barranquilla,Coordinadora,Entregado,True,12596,242730
ENV-100111,PED-100111,2025-01-05,2025-01-07,2025-01-07,2,Colombia,Cali,Coordinadora,Entregado,True,11796,82603
ENV-100112,PED-100112,2025-01-05,2025-01-08,2025-01-08,3,Colombia,Barranquilla,Coordinadora,Entregado,True,13804,94050
ENV-100113,PED-100113,2025-01-06,2025-01-09,2025-01-09,3,Colombia,Bogotá,TCC,Entregado,True,12929,62700
ENV-100114,PED-100114,2025-01-06,2025-01-10,2025-01-10,4,Colombia,Bogotá,Coordinadora,Entregado,True,11666,41690
ENV-100115,PED-100115,2025-01-06,2025-01-08,2025-01-08,2,Colombia,Cali,TCC,Entregado,True,10889,41690
ENV-100116,PED-100116,2025-01-06,2025-01-08,2025-01-12,6,Colombia,Bucaramanga,TCC,Entregado,False,11449,359700
ENV-100117,PED-100117,2025-01-06,2025-01-10,2025-01-10,4,Colombia,Pereira,Coordinadora,Entregado,True,12668,43731
ENV-100118,PED-100118,2025-01-06,2025-01-09,2025-01-09,3,Colombia,Cali,Servientrega,Entregado,True,11366,43731
ENV-100119,PED-100119,2025-01-06,2025-01-09,2025-01-09,3,Colombia,Cali,Servientrega,Entregado,True,14069,48590
ENV-100120,PED-100120,2025-01-06,2025-01-10,2025-01-10,4,Colombia,Pereira,TCC,Entregado,True,11719,62700
ENV-100121,PED-100121,2025-01-06,2025-01-08,2025-01-08,2,Colombia,Bucaramanga,Servientrega,Entregado,True,14237,269700
ENV-100122,PED-100122,2025-01-06,2025-01-08,2025-01-08,2,Colombia,Bucaramanga,Servientrega,Entregado,True,15597,125070
ENV-100123,PED-100123,2025-01-06,2025-01-08,2025-01-08,2,Colombia,Medellín,Servientrega,Entregado,True,11312,125070
ENV-100124,PED-100124,2025-01-06,2025-01-08,2025-01-08,2,Colombia,Cali,Servientrega,Entregado,True,11094,84645
ENV-100125,PED-100125,2025-01-06,2025-01-09,2025-01-09,3,Colombia,Pereira,TCC,Entregado,True,9468,89900
ENV-100126,PED-100126,2025-01-06,2025-01-08,2025-01-08,2,Colombia,Bogotá,Servientrega,Entregado,True,13673,92321
ENV-100127,PED-100127,2025-01-06,2025-01-09,2025-01-09,3,Colombia,Pereira,TCC,Entregado,True,12048,152830
ENV-100128,PED-100128,2025-01-06,2025-01-08,2025-01-08,2,Colombia,Barranquilla,Coordinadora,Entregado,True,14706,41690
ENV-100129,PED-100129,2025-01-06,2025-01-10,2025-01-10,4,Colombia,Medellín,Servientrega,Entregado,True,14588,84000
ENV-100130,PED-100130,2025-01-06,2025-01-09,2025-01-09,3,Colombia,Pereira,TCC,Entregado,True,10449,37950
ENV-100131,PED-100131,2025-01-06,2025-01-10,2025-01-10,4,Colombia,Medellín,Servientrega,Entregado,True,15542,359700
ENV-100132,PED-100132,2025-01-07,2025-01-09,2025-01-09,2,Colombia,Pereira,Coordinadora,Entregado,True,11433,179800
ENV-100133,PED-100133,2025-01-07,2025-01-11,2025-01-11,4,Colombia,Bogotá,Coordinadora,Entregado,True,9356,75900
ENV-100134,PED-100134,2025-01-07,2025-01-11,2025-01-11,4,Colombia,Pereira,Coordinadora,Entregado,True,11552,41690
ENV-100135,PED-100135,2025-01-07,2025-01-11,2025-01-11,4,Colombia,Barranquilla,TCC,Entregado,True,10887,359700
ENV-100136,PED-100136,2025-01-07,2025-01-10,2025-01-11,4,Colombia,Medellín,Servientrega,Entregado,False,14043,113850
ENV-100137,PED-100137,2025-01-07,2025-01-11,2025-01-11,4,Colombia,Bogotá,TCC,Entregado,True,15187,92321
ENV-100138,PED-100138,2025-01-07,2025-01-09,2025-01-09,2,Colombia,Bucaramanga,TCC,Entregado,True,14446,79800
ENV-100139,PED-100139,2025-01-07,2025-01-11,2025-01-11,4,Colombia,Medellín,Coordinadora,Entregado,True,15441,37950
ENV-100140,PED-100140,2025-01-07,2025-01-11,2025-01-11,4,Colombia,Cali,Coordinadora,Entregado,True,12130,48590
ENV-100141,PED-100141,2025-01-07,2025-01-10,2025-01-12,5,Colombia,Medellín,Coordinadora,Entregado,False,15090,118816
ENV-100142,PED-100142,2025-01-07,2025-01-10,2025-01-10,3,Colombia,Medellín,Servientrega,Entregado,True,15084,64515
ENV-100143,PED-100143,2025-01-07,2025-01-11,2025-01-11,4,Colombia,Medellín,Servientrega,Entregado,True,13703,64515
ENV-100144,PED-100144,2025-01-07,2025-01-09,2025-01-09,2,Colombia,Medellín,Coordinadora,Entregado,True,15205,125070
ENV-100145,PED-100145,2025-01-07,2025-01-09,2025-01-09,2,Colombia,Pereira,Servientrega,Entregado,True,11325,37950
ENV-100146,PED-100146,2025-01-07,2025-01-09,2025-01-09,2,Colombia,Medellín,Servientrega,Entregado,True,9725,113850
ENV-100147,PED-100147,2025-01-07,2025-01-11,2025-01-11,4,Colombia,Bucaramanga,Servientrega,Entregado,True,12087,103950
ENV-100148,PED-100148,2025-01-07,2025-01-10,2025-01-10,3,Colombia,Medellín,TCC,Entregado,True,14345,37950
ENV-100149,PED-100149,2025-01-07,2025-01-09,2025-01-09,2,Colombia,Cali,TCC,Entregado,True,9219,41690
ENV-100150,PED-100150,2025-01-07,2025-01-09,2025-01-12,5,Colombia,Pereira,TCC,Entregado,False,15334,83380
ENV-100151,PED-100151,2025-01-07,2025-01-11,2025-01-11,4,Colombia,Bogotá,Servientrega,Entregado,True,9617,113850
ENV-100152,PED-100152,2025-01-07,2025-01-09,2025-01-09,2,Colombia,Barranquilla,TCC,Entregado,True,14797,118816
ENV-100153,PED-100153,2025-01-07,2025-01-11,2025-01-11,4,Colombia,Medellín,TCC,Entregado,True,13653,29782
ENV-100154,PED-100154,2025-01-07,2025-01-11,2025-01-11,4,Colombia,Medellín,Servientrega,Entregado,True,10703,34650
ENV-100155,PED-100155,2025-01-07,2025-01-11,2025-01-11,4,Colombia,Barranquilla,TCC,Entregado,True,12644,179800
ENV-100156,PED-100156,2025-01-07,2025-01-10,2025-01-10,3,Colombia,Cali,TCC,Entregado,True,15078,269700
ENV-100157,PED-100157,2025-01-07,2025-01-11,2025-01-11,4,Colombia,Cali,Coordinadora,Entregado,True,9220,84000
ENV-100158,PED-100158,2025-01-07,2025-01-10,2025-01-10,3,Colombia,Cali,TCC,Entregado,True,11964,94050
ENV-100159,PED-100159,2025-01-07,2025-01-11,2025-01-11,4,Colombia,Cali,TCC,Entregado,True,13291,75900
ENV-100160,PED-100160,2025-01-08,2025-01-12,2025-01-12,4,Colombia,Barranquilla,Servientrega,Entregado,True,12124,119900
ENV-100161,PED-100161,2025-01-08,2025-01-12,2025-01-12,4,Colombia,Pereira,Coordinadora,Entregado,True,13843,62700
ENV-100162,PED-100162,2025-01-08,2025-01-10,2025-01-10,2,Colombia,Cali,TCC,Entregado,True,14150,28000
ENV-100163,PED-100163,2025-01-08,2025-01-10,2025-01-10,2,Colombia,Bucaramanga,Coordinadora,Entregado,True,12858,145770
ENV-100164,PED-100164,2025-01-08,2025-01-11,2025-01-11,3,Colombia,Medellín,Coordinadora,Entregado,True,15890,34155
ENV-100165,PED-100165,2025-01-08,2025-01-10,2025-01-10,2,Colombia,Bogotá,Coordinadora,Entregado,True,13573,113850
ENV-100166,PED-100166,2025-01-08,2025-01-10,2025-01-10,2,Colombia,Medellín,Servientrega,Entregado,True,9130,119900
ENV-100167,PED-100167,2025-01-08,2025-01-12,2025-01-12,4,Colombia,Cali,TCC,Entregado,True,11274,37950
ENV-100168,PED-100168,2025-01-08,2025-01-10,2025-01-10,2,Colombia,Bucaramanga,Servientrega,Entregado,True,12133,83380
ENV-100169,PED-100169,2025-01-08,2025-01-12,2025-01-12,4,Colombia,Barranquilla,TCC,Entregado,True,15700,97180
ENV-100170,PED-100170,2025-01-08,2025-01-10,2025-01-15,7,Colombia,Barranquilla,TCC,Entregado,False,13191,125070
ENV-100171,PED-100171,2025-01-08,2025-01-11,2025-01-11,3,Colombia,Bogotá,Servientrega,Entregado,True,13562,145770
ENV-100172,PED-100172,2025-01-08,2025-01-11,2025-01-11,3,Colombia,Medellín,Servientrega,Entregado,True,10506,179800
ENV-100173,PED-100173,2025-01-08,2025-01-11,2025-01-11,3,Colombia,Pereira,Coordinadora,Entregado,True,15543,62700
ENV-100174,PED-100174,2025-01-08,2025-01-12,2025-01-17,9,Colombia,Bogotá,TCC,Entregado,False,12236,41690
ENV-100175,PED-100175,2025-01-08,2025-01-10,2025-01-10,2,Colombia,Barranquilla,TCC,Entregado,True,10653,113850
ENV-100176,PED-100176,2025-01-08,2025-01-12,2025-01-14,6,Colombia,Barranquilla,Servientrega,Entregado,False,12187,112563
ENV-100177,PED-100177,2025-01-08,2025-01-12,2025-01-12,4,Colombia,Cali,Coordinadora,Entregado,True,12404,83380
ENV-100178,PED-100178,2025-01-08,2025-01-11,2025-01-11,3,Colombia,Medellín,TCC,Entregado,True,15820,37950
ENV-100179,PED-100179,2025-01-09,2025-01-12,2025-01-12,3,Colombia,Bogotá,TCC,Entregado,True,9709,113850
ENV-100180,PED-100180,2025-01-09,2025-01-12,2025-01-15,6,Colombia,Pereira,Servientrega,Entregado,False,13825,89900
ENV-100181,PED-100181,2025-01-09,2025-01-12,2025-01-12,3,Colombia,Cali,Coordinadora,Entregado,True,9583,48590
ENV-100182,PED-100182,2025-01-09,2025-01-13,2025-01-13,4,Colombia,Medellín,Servientrega,Entregado,True,14422,125070
ENV-100183,PED-100183,2025-01-09,2025-01-12,2025-01-12,3,Colombia,Pereira,Servientrega,Entregado,True,10721,45000
ENV-100184,PED-100184,2025-01-09,2025-01-13,2025-01-13,4,Colombia,Pereira,Servientrega,Entregado,True,15084,94050
ENV-100185,PED-100185,2025-01-09,2025-01-12,2025-01-12,3,Colombia,Bucaramanga,TCC,Entregado,True,9179,37950
ENV-100186,PED-100186,2025-01-09,2025-01-13,2025-01-13,4,Colombia,Barranquilla,TCC,Entregado,True,10518,113850
ENV-100187,PED-100187,2025-01-09,2025-01-12,2025-01-12,3,Colombia,Barranquilla,Coordinadora,Entregado,True,11882,28000
ENV-100188,PED-100188,2025-01-09,2025-01-13,2025-01-13,4,Colombia,Cali,Coordinadora,Entregado,True,13782,26648
ENV-100189,PED-100189,2025-01-09,2025-01-11,2025-01-11,2,Colombia,Cali,TCC,Entregado,True,12065,97180
ENV-100190,PED-100190,2025-01-09,2025-01-11,2025-01-11,2,Colombia,Bogotá,TCC,Entregado,True,14207,31350
ENV-100191,PED-100191,2025-01-09,2025-01-12,2025-01-12,3,Colombia,Bogotá,TCC,Entregado,True,15862,97180
ENV-100192,PED-100192,2025-01-09,2025-01-12,2025-01-12,3,Colombia,Pereira,TCC,Entregado,True,9240,113850
ENV-100193,PED-100193,2025-01-09,2025-01-12,2025-01-12,3,Colombia,Cali,TCC,Entregado,True,14058,31350
ENV-100194,PED-100194,2025-01-09,2025-01-13,2025-01-13,4,Colombia,Bogotá,TCC,Entregado,True,12734,97180
ENV-100195,PED-100195,2025-01-09,2025-01-13,2025-01-13,4,Colombia,Cali,TCC,Entregado,True,9010,31350
ENV-100196,PED-100196,2025-01-09,2025-01-13,2025-01-13,4,Colombia,Medellín,TCC,Entregado,True,10506,239800
ENV-100197,PED-100197,2025-01-09,2025-01-12,2025-01-12,3,Colombia,Bucaramanga,Servientrega,Entregado,True,10986,75900
ENV-100198,PED-100198,2025-01-09,2025-01-12,2025-01-12,3,Colombia,Cali,TCC,Entregado,True,9745,48590
ENV-100199,PED-100199,2025-01-10,2025-01-12,2025-01-12,2,Colombia,Medellín,Coordinadora,Entregado,True,10726,145770
ENV-100200,PED-100200,2025-01-10,2025-01-14,2025-01-14,4,Colombia,Barranquilla,TCC,Entregado,True,13934,239800
ENV-100201,PED-100201,2025-01-10,2025-01-13,2025-01-13,3,Colombia,Bogotá,Coordinadora,Entregado,True,13820,41690
ENV-100202,PED-100202,2025-01-10,2025-01-12,2025-01-12,2,Colombia,Barranquilla,TCC,Entregado,True,11300,37950
ENV-100203,PED-100203,2025-01-10,2025-01-14,2025-01-14,4,Colombia,Barranquilla,Coordinadora,Entregado,True,15670,83380
ENV-100204,PED-100204,2025-01-10,2025-01-13,2025-01-13,3,Colombia,Pereira,TCC,Entregado,True,10916,94050
ENV-100205,PED-100205,2025-01-10,2025-01-13,2025-01-13,3,Colombia,Pereira,Servientrega,Entregado,True,11469,92321
ENV-100206,PED-100206,2025-01-10,2025-01-13,2025-01-13,3,Colombia,Pereira,Servientrega,Entregado,True,11779,75900
ENV-100207,PED-100207,2025-01-10,2025-01-12,2025-01-12,2,Colombia,Pereira,TCC,Entregado,True,9595,113850
ENV-100208,PED-100208,2025-01-10,2025-01-12,2025-01-12,2,Colombia,Bucaramanga,Coordinadora,Entregado,True,14909,89900
ENV-100209,PED-100209,2025-01-10,2025-01-13,2025-01-13,3,Colombia,Medellín,Coordinadora,Entregado,True,12462,269700
ENV-100210,PED-100210,2025-01-10,2025-01-13,2025-01-13,3,Colombia,Bucaramanga,Coordinadora,Entregado,True,14390,83380
ENV-100211,PED-100211,2025-01-10,2025-01-14,2025-01-14,4,Colombia,Cali,TCC,Entregado,True,11784,45000
